Serial Number,Start Time,End Time,Text,Layer ID
355,00:22:39:25,00:22:42:17,「幸せ・幸福」を表す樂（ル）、,1
356,00:22:42:17,00:22:46:07,「鑑賞する」という動詞を表す樂（ヤオ）の頭文字をとったものである。,1
357,00:22:48:21,00:22:49:26,これで,1
358,00:22:50:03,00:22:54:16,日本語の発音順がわかりましたね。繁体字中国語はどうでしょうか。,1
359,00:22:54:27,00:22:57:16,それでは、台湾の美味しいものを紹介しましょう。,1
360,00:22:57:24,00:22:59:11,私の好きな順に,1
361,00:22:59:17,00:23:01:06,並べてみました。,1
362,00:23:01:25,00:23:05:00,では、属性を使って名前を並べ替えるにはどうしたらいいのでしょう？,1
363,00:23:05:15,00:23:08:10,まず、どのような方法があるか見てみましょう。,1
364,00:23:09:24,00:23:12:20,これは岩国の一文字,1
365,00:23:12:25,00:23:14:07,"繁体字中国語で ""イェン""。",1
366,00:23:15:00,00:23:18:00,少なくとも4種類の並べ方があります。,1
367,00:23:18:11,00:23:21:01,部首の画数を数える方法、,1
368,00:23:21:12,00:23:22:29,総画数を数える方法、,1
369,00:23:23:02,00:23:26:10,台湾でのみ使われている,1
370,00:23:26:10,00:23:29:01,音素注音で表記する方法、,1
371,00:23:29:16,00:23:32:10,または中国での主な入力方法であるローマ字による,1
372,00:23:32:10,00:23:35:24,ピンインで表記する方法である。,1
373,00:23:37:03,00:23:40:29,通常はいずれかの属性で並び替えを行うが、,1
374,00:23:41:04,00:23:44:15,図書館の蔵書検索システムのように、,1
375,00:23:44:15,00:23:48:01,ユーザーが並び替えの方法を変更できるようにすることもある。,1
376,00:23:49:16,00:23:50:28,繁体字中国語では、,1
377,00:23:50:28,00:23:56:17,localeCompare() は先に述べた様々な属性とも連動します。,1
378,00:23:56:27,00:23:58:03,画数で、,1
379,00:23:58:15,00:24:00:16,または音声注音で。,1
380,00:24:01:11,00:24:04:05,これは音韻の要素である注音でソートしています。,1
381,00:24:04:05,00:24:07:26,五十音で日本語をソートするのと同じようなものです。,1
382,00:24:08:15,00:24:12:05,注音を理解しないと、理解するのは難しいでしょう。,1
383,00:24:12:28,00:24:14:21,でも、別の方法はもっと簡単です。,1
384,00:24:14:23,00:24:17:09,これは総画数でソートしています。,1
385,00:24:17:22,00:24:20:14,左から右へ、最初の文字の,1
386,00:24:20:16,00:24:23:16,ストロークが多くなっているのがわかります。,1
387,00:24:24:00,00:24:26:22,JavaScriptがサポートされてるのがすごいよね。,1
388,00:24:26:24,00:24:29:17,これはオープンソースの貢献者のおかげです。,1
389,00:24:29:17,00:24:32:07,特にUniHanプロジェクトは、,1
390,00:24:32:08,00:24:37:02,ユニコードのオープンソースプロジェクトの一つです。,1
391,00:24:37:08,00:24:39:13,そのおかげで、これが使えるようになったんです。,1
392,00:24:40:08,00:24:42:17,そこで、未解決の問題を考えてみよう。,1
393,00:24:42:17,00:24:46:20,多読漢字をどうするか？,1
394,00:24:47:08,00:24:49:16,この問題は、日本語の漢字、,1
395,00:24:49:16,00:24:51:26,あるいは漢字を発音要素の注音やピンインで,1
396,00:24:51:26,00:24:55:05,並べ替えたときに発生する。,1
397,00:24:55:28,00:24:57:20,技術的には、ネイティブスピーカーは、,1
398,00:24:57:20,00:25:00:14,一般的な発音のバリエーションを知っており、,1
399,00:25:00:16,00:25:03:22,頭の中で処理する際、一緒に処理されるため、,1
400,00:25:04:16,00:25:09:23,異なる発音が混在していても、ネイティブスピーカーは,1
401,00:25:10:02,00:25:12:06,あまり気にならないのである。,1
402,00:25:12:25,00:25:15:18,ただし、私の認識が間違っている可能性もありますので、,1
403,00:25:15:23,00:25:20:25,具体的な解決策をお聞かせいただければと思います。,1
404,00:25:21:20,00:25:27:03,もし、クライアントが明示的な順序を要求してきた場合は、,1
405,00:25:27:10,00:25:29:22,あらかじめ定義されたテーブルや配列に単語を,1
406,00:25:29:22,00:25:32:23,マッピングするのが良い方法です。,1
407,00:25:35:28,00:25:38:27,最後に、ある一文を紹介したい。,1
408,00:25:39:07,00:25:40:23,"""Devil is in the details""",1
409,00:25:40:26,00:25:42:24,という言葉を耳にすることがある。,1
410,00:25:43:01,00:25:45:29,この意味は、「細部にまで目を向けないと、,1
411,00:25:45:29,00:25:49:07,困難や問題は見えてこない」というものである。,1
412,00:25:50:02,00:25:53:04,文の成り立ちが何となく逆なんですよね。,1
413,00:25:54:07,00:25:56:04,"""神は細部に宿る""",1
414,00:25:56:27,00:25:58:12,ドイツの建築家、,1
415,00:25:58:14,00:26:00:25,ミース・ファン・デル・ローエの言葉です。,1
416,00:26:01:07,00:26:03:19,"""Der liebe Gott steckt im detail"" である。",1
417,00:26:04:06,00:26:06:18,悪魔でも神でも、,1
418,00:26:07:00,00:26:09:11,この文に共通することは一つ。,1
419,00:26:09:17,00:26:13:13,一番大事なことは、細かいところにある。,1
420,00:26:14:03,00:26:18:27,新しいサイトが完成したとき、人々は歓声を上げ、満足感を覚えます。,1
421,00:26:19:06,00:26:22:02,そして、そのウェブサイトを訪れた人が、,1
422,00:26:22:02,00:26:24:08,自分の言語で直感的に操作できることに喜びを感じるとき。,1
423,00:26:24:21,00:26:31:14,それは、開発者・デザイナーが最高のUXを実現するために、,1
424,00:26:31:19,00:26:33:23,細部にまでこだわっているからです。,1
425,00:26:33:29,00:26:37:03,そして、よく見て、チャレンジして、,1
426,00:26:37:08,00:26:38:21,悪魔と取引して、,1
427,00:26:38:24,00:26:42:03,最後には輝かしい奇跡を見つけましょう。,1
428,00:26:43:14,00:26:48:24,どうも、クリスです。今日は以下のセッションで良い午後を過ごせますように。,1
429,00:26:49:08,00:26:51:13,ご清聴ありがとうございました。,1
